We;tc (s);epsilon
0,314036663;0,0014;0,798607757
0,409838593;0,0013;0,771304061
0,240518766;0,0014;0,802010674
0,414840424;0,0014;0,780770914
0,255887286;0,0015;0,787387552
0,160947873;0,0015;0,802459419
0,10456441;0,0017;0,842269184
0,049821168;0,0019;0,77610322
0,031409018;0,0019;0,783143086
0,019232596;0,0023;0,772177599
0,012828353;0,0022;0,765765012
0,007521296;0,0025;0,722730199
0,577899255;0,0014;0,758419563
0,170676044;0,0016;0,806861617
0,11620072;0,0019;0,8062001
0,078917853;0,002;0,824824638
0,208154355;0,0016;0,801820928
0,034965221;0,002;0,787703293
0,022276317;0,0022;0,782257754
0,014992005;0,0023;0,772407432
0,009437963;0,0027;0,686336231
0,005959938;0,0027;0,666003797
0,847914624;0,0013;0,724861115
0,504271552;0,0014;0,768034527
0,313729815;0,0014;0,787991398
0,202272483;0,0016;0,816675537
0,285343341;0,0014;0,800795052
0,008887067;0,0022;0,814412959
0,006172317;0,0027;0,700089119
0,483620203;0,0011;0,816709508
0,31532634;0,0012;0,812918165
0,146459504;0,0012;0,839201201
0,103188037;0,0014;0,833531082
0,071494227;0,0014;0,840913358
0,05041102;0,0014;0,845363642
0,556847783;0,0011;0,802668471
0,350718127;0,0011;0,823711832
0,704768394;0,001;0,798144546
0,432156186;0,0011;0,806021199
0,092434124;0,0018;0,804799675
0,060917931;0,0018;0,798190359
0,039635196;0,0019;0,807662499
0,026514159;0,002;0,802652486
0,017560728;0,0023;0,779080663
0,011412859;0,0025;0,701036245
0,007477687;0,0023;0,76269685
0,004584914;0,0026;0,58502084
0,002921226;0,0028;0,490556445
0,465536518;0,0012;0,809356107
0,309715899;0,0012;0,807703208
0,20657777;0,0013;0,820107146
0,143386704;0,0014;0,836930805
0,655161597;0,0012;0,774193527
0,728241832;0,0011;0,781640009
0,446590917;0,0012;0,794415922
0,279928604;0,0013;0,855777814
0,157748067;0,0014;0,831751017
0,111381135;0,0015;0,825256587
0,076604318;0,0016;0,812794458
0,051637276;0,0017;0,831023307
0,037439652;0,0017;0,794451597
0,076132767;0,0017;0,804048453
0,049457823;0,0019;0,823911628
0,033228165;0,002;0,832602858
0,023092234;0,0021;0,817546402
0,64780956;0,0011;0,814371707
0,558796796;0,0012;0,800899902
0,366701778;0,0012;0,811589593
0,595364087;0,0011;0,794483896
0,383086914;0,0012;0,805819464
0,135648343;0,0013;0,837245386
0,432717971;0,0012;0,78639879
0,273312023;0,0012;0,810064291
0,064788138;0,0015;0,835004107
0,046330069;0,0016;0,803223278
0,030471941;0,0017;0,80972725
0,021289087;0,0016;0,801856976
0,013721581;0,0019;0,784420468
0,008516738;0,0021;0,821338804
0,661479946;0,0011;0,776947299
0,4051621;0,0012;0,804045124
0,682828009;0,0011;0,80494188
0,558325052;0,0013;0,782777334
0,349420505;0,0013;0,80897383
0,381906412;0,0013;0,789862341
0,241561734;0,0014;0,807588714
0,983421571;0,001;0,773420118
0,263863918;0,001;0,80858939
0,912737238;0,0009;0,783616683
0,510313653;0,001;0,825625215
0,71584311;0,0008;0,803492725
0,877342653;0,001;0,788426947
0,747527443;0,001;0,797957331
0,422951423;0,0011;0,814994419
0,832519327;0,0009;0,77682505
0,452652026;0,001;0,814379088
1,390626512;0,001;0,728277179
1,150010483;0,0009;0,754595562
0,568691227;0,0009;0,812071086
1,812276043;0,0009;0,695186153
0,746285403;0,001;0,785969044
1,848385931;0,001;0,681989605
0,761795764;0,0012;0,786114807
0,454099516;0,0012;0,812906079
2,278468946;0,0011;0,651036916
3,024321128;0,0009;0,602109633
1,893205056;0,0009;0,682738339
2,252051928;0,0008;0,659404355
2,615139461;0,001;0,620713486
2,506653702;0,0009;0,638435545
2,995401005;0,0009;0,590390989
4,564782973;0,0007;0,532722626
3,185950017;0,0009;0,584508463
3,067641097;0,0007;0,579802966
