We;tc (s);epsilon
0,100171018;0,001;0,85354298
0,072376564;0,001;0,85720056
0,102790486;0,0009;0,827545653
0,071381683;0,0009;0,877847084
0,131258596;0,0009;0,868488212
0,099482652;0,001;0,868762659
0,130741014;0,0009;0,888960286
0,484396544;0,0008;0,88887727
0,321760289;0,0008;0,89622532
0,433092685;0,0008;0,887359212
0,5891066;0,0008;0,87489943
0,651795733;0,0007;0,865781022
0,749496623;0,0008;0,859317425
0,798031306;0,0007;0,849239499
0,74917049;0,0008;0,859013383
1,002358301;0,0008;0,834217437
1,038353907;0,0008;0,838908424
1,205079832;0,0008;0,82288271
1,252501138;0,0008;0,8176909
1,410302035;0,0008;0,797360654
1,428624268;0,0008;0,797493417
1,54012311;0,0008;0,774607485
1,487158295;0,0008;0,78036267
1,623256281;0,0007;0,758048674
1,656573192;0,0008;0,756308222
1,952726639;0,0008;0,729714887
1,826007038;0,0009;0,733319936
2,029356016;0,0008;0,717081324
1,912788265;0,0008;0,719679629
2,158263975;0,0008;0,700171042
2,279402535;0,0008;0,695714248
2,28443793;0,0008;0,688409823
0,881008301;0,0008;0,853292633
2,290315377;0,0008;0,680208968
2,372594102;0,0008;0,671774379
2,639213832;0,0009;0,646536109
2,738566051;0,0009;0,602901427
0,041608093;0,0011;0,844761956
0,02998266;0,0011;0,83450232
0,020483494;0,0013;0,82481291
0,013824339;0,0013;0,811478672
0,057062674;0,0013;0,870817994
0,042931034;0,0014;0,856052383
0,031147859;0,0015;0,848516777
0,022775066;0,0015;0,834533095
0,016020082;0,0016;0,81979087
0,011208599;0,0017;0,80799278
0,007713328;0,0018;0,803694925
0,035447649;0,0015;0,845969048
0,025057374;0,0015;0,834300923
0,017592671;0,0016;0,827785973
0,012121191;0,0017;0,814417933
0,009220616;0,0015;0,791165722
