We;R (m);tc (s);epsilon;Bo
0,008109173;0,000471593;0,0055;0,846676814;0,029879052
0,007041252;0,00047339;0,005;0,946558912;0,030107303
0,006412619;0,000474817;0,0053;0,797349476;0,030289013
0,004128589;0,000475861;0,0063;0,652490935;0,030422429
0,001556124;0,000476489;0,0077;0,934864924;0,030502674
0,014986748;0,000481197;0,005;0,810870749;0,031108415
0,010592847;0,000482614;0,0055;0,760312534;0,031291999
0,005044036;0,000483591;0,0064;0,892646909;0,031418736
0,004844929;0,000483793;0,0065;0,451533846;0,03144507
0,003103254;0,000482937;0,0058;0,856046314;0,031333785
0,025819637;0,00048357;0,005;0,829992458;0,031416034
0,020601517;0,000483808;0,005;0,766699763;0,031447011
0,011271735;0,000483459;0,0055;0,773709237;0,031401629
0,007878959;0,00048203;0,0057;0,739550126;0,031216299
0,005714909;0,000479966;0,0056;0,83189794;0,030949459
0,003120656;0,000477931;0,0063;0,883818302;0,030687574
0,105406561;0,000481042;0,0036;0,916110304;0,031088432
0,089960375;0,000481234;0,0035;0,951287977;0,031113241
0,080794143;0,000480053;0,0037;0,920426516;0,030960687
0,070369624;0,000478097;0,0038;0,899485502;0,030708974
0,145410696;0,000472635;0,0032;0,90675687;0,030011293
0,11876842;0,00047212;0,0035;0,903013901;0,029945909
0,098280869;0,000474715;0,0035;0,883130748;0,030275955
0,076725466;0,000478006;0,0037;0,856303478;0,030697311
0,05925344;0,00048021;0,0036;0,852797319;0,030981003
0,043851143;0,00048108;0,0041;0,846973224;0,031093381
0,032822236;0,000481261;0,0046;0,806349636;0,031116709
0,02080767;0,000480782;0,0052;0,417541456;0,031054878
0,318042893;0,000467141;0,0031;0,927420217;0,029317646
0,274537942;0,000467769;0,003;0,88722318;0,0293965
0,217092126;0,000468132;0,003;0,89487697;0,02944215
0,172562356;0,00046755;0,0032;0,947903524;0,029368987
0,295329828;0,000474997;0,0032;0,948666735;0,030312001
0,265388849;0,000475261;0,0032;0,913302976;0,030345735
0,222715189;0,000473821;0,003;0,928463227;0,03016213
0,561854701;0,0004838;0,0029;0,847657242;0,031445903
0,405659213;0,000484264;0,003;0,901821282;0,031506277
0,328683703;0,000484618;0,0031;0,911660644;0,031552352
0,272108295;0,000484627;0,0032;0,917358879;0,031553558
0,553733089;0,000479979;0,0029;0,868649755;0,030951175
0,420690176;0,000479783;0,0029;0,89712093;0,030925903
0,334529322;0,000478445;0,003;0,918559492;0,030753627
0,685226338;0,000475352;0,0028;0,876943448;0,030357272
0,528520712;0,000475811;0,0028;0,879641299;0,030415932
0,410771379;0,00047629;0,0029;0,881381316;0,030477218
0,319395603;0,000476417;0,0029;0,946000232;0,030493499
0,687757618;0,000476372;0,0028;0,848782153;0,030487789
0,499726412;0,000477098;0,0028;0,877058299;0,030580791
0,383747305;0,00047799;0,003;0,893691209;0,030695202
0,304914059;0,00047771;0,003;0,89656275;0,03065928
0,60020619;0,000475183;0,0029;0,875318988;0,030335801
0,60020619;0,000475183;0,0029;0,875318988;0,030335801
0,56661614;0,00047807;0,0028;0,889711941;0,030705434
0,685363393;0,000475676;0,0028;0,869466449;0,030398678
0,647878238;0,000480099;0,0028;0,873050861;0,030966614
1,066640171;0,000485057;0,0028;0,825746473;0,031609582
0,73472797;0,00048586;0,0028;0,865389072;0,031714302
1,086635248;0,000484489;0,0028;0,830713181;0,03153559
0,75162931;0,000484389;0,0028;0,870577201;0,031522517
1,317111771;0,000482522;0,0027;0,788574783;0,031279992
0,82303766;0,000482406;0,0028;0,864206243;0,031264942
1,33188041;0,000477393;0,0027;0,806725937;0,030618608
0,871782692;0,000476575;0,0027;0,858597751;0,030513774
1,559553284;0,000479429;0,0027;0,770925366;0,030880342
0,890754464;0,000478472;0,0027;0,862165687;0,030757117
1,55935333;0,00047673;0,0027;0,773168686;0,030533596
1,075557518;0,000481738;0,0028;0,826085872;0,031178467
1,795669338;0,00048105;0,0028;0,731179181;0,031089483
2,049879692;0,000481762;0,0028;0,72348256;0,031181604
2,043277749;0,000478785;0,0027;0,710769634;0,030797363
2,268675884;0,000479027;0,0029;0,672705634;0,030828535
2,321712395;0,000483705;0,0028;0,681389953;0,031433633
2,595589437;0,000482105;0,0029;0,647771799;0,03122596
2,634218508;0,000490487;0,0028;0,629758276;0,032321166
2,915803119;0,00048635;0,0028;0,602736872;0,031778263
2,902127358;0,00048372;0,0029;0,619495949;0,031435476
3,146551546;0,000481831;0,0027;0,600088714;0,031190533
3,305392561;0,000481836;0,0027;0,589663454;0,031191137
3,530826342;0,00048764;0,0027;0,58365622;0,031947131
