We;R (m);tc (s);epsilon;Oh;Bo
0,071108599;0,00026579;0,002;0,652174516;0,132835042;0,01124633
0,015942798;0,000271072;0,0027;0,657427442;0,131534308;0,011697829
0,007174678;0,00027062;0,0031;0,589239044;0,131644288;0,011658787
0,140914025;0,000267561;0,0018;0,607279594;0,132394509;0,011396764
0,051603533;0,000264522;0,0021;0,652896691;0,133152929;0,011139317
0,12396308;0,000263802;0,0019;0,613288292;0,133334489;0,011078768
0,04586383;0,000259278;0,0022;0,661094176;0,134492788;0,010702013
0,132946137;0,000274372;0,0019;0,643142461;0,130741023;0,011984335
0,118786446;0,000276029;0,0018;0,649008812;0,130347926;0,012129557
0,048900568;0,000275182;0,0023;0,658399183;0,130548488;0,01205519
0,021509328;0,000274103;0,0026;0,659337337;0,130805204;0,011960831
0,009720011;0,000273159;0,0029;0,596841839;0,131031029;0,011878589
0,003749861;0,000272393;0,0036;0,409158704;0,131215147;0,011812058
0,167956522;0,000267488;0,0018;0,603381478;0,132412714;0,011390498
0,195372355;0,000276503;0,0018;0,599198222;0,130236206;0,012171231
0,069590306;0,000273246;0,002;0,645283986;0,131010176;0,011886153
0,028189994;0,000268644;0,0023;0,645183409;0,132127505;0,011489166
0,01201206;0,000265517;0,0026;0,640890869;0,132903194;0,01122328
0,004749176;0,000263757;0,003;0,293025246;0,13334586;0,011074989
0,230672975;0,000279338;0,0018;0,614315576;0,129573618;0,012422103
0,087651759;0,000279801;0,002;0,658669865;0,129466395;0,012463305
0,037957894;0,00027997;0,0022;0,664546271;0,129427333;0,012478358
0,016872204;0,000279612;0,0025;0,655634475;0,129510075;0,0124465
0,007451103;0,000279176;0,0029;0,61016866;0,129611136;0,012407726
0,232253238;0,000274609;0,0017;0,607952569;0,130684606;0,012005043
0,406734785;0,000273904;0,0016;0,569765939;0,130852702;0,011943474
0,132289613;0,00027086;0,0018;0,631261157;0,131585887;0,011679499
0,390303084;0,000277322;0,0017;0,572916706;0,130043717;0,012243454
0,128589946;0,000275442;0,0019;0,634527365;0,130486905;0,012077964
