We;tc (s);epsilon
0,479561136;0,0017;0,818654473
0,911612152;0,0013;0,766736646
0,509684701;0,0014;0,780348144
0,316282204;0,0015;0,785760458
0,200085668;0,0016;0,792551626
0,128685972;0,0017;0,801739125
0,084147283;0,0018;0,808093124
0,055556226;0,002;0,812500247
0,62424854;0,0014;0,753172693
0,36154209;0,0015;0,764679389
0,214993905;0,0016;0,783946353
0,133799194;0,0017;0,792568096
0,084786809;0,0019;0,788085794
0,053740998;0,002;0,797030448
0,035047265;0,0021;0,790369286
0,022166517;0,0024;0,786197117
0,014055534;0,0024;0,793837862
0,661006759;0,0014;0,758175545
0,382486673;0,0015;0,785195813
0,28331443;0,0017;0,749843146
0,1607541;0,0018;0,787293681
0,1011375;0,0019;0,795035635
0,065289418;0,002;0,802221502
0,041671818;0,0024;0,79784859
0,026724172;0,0025;0,804116847
0,363694597;0,0013;0,783664574
0,226817759;0,0014;0,795368891
0,017857883;0,0021;0,793448203
0,011013488;0,0023;0,80252809
0,006835725;0,0025;0,739563072
0,465736919;0,0013;0,784888344
0,764900716;0,0014;0,760666793
0,415273987;0,0015;0,781447552
0,259199408;0,0015;0,791778731
0,165159818;0,0017;0,806198765
0,600665559;0,0013;0,772119709
0,368756611;0,0014;0,777748275
0,231057053;0,0015;0,80045033
0,150549661;0,0016;0,819162614
0,100786042;0,0017;0,829103958
0,068045534;0,0018;0,846619357
0,47968416;0,0012;0,789950814
0,432905312;0,0013;0,770448151
0,25842064;0,0015;0,796304592
0,725660605;0,0013;0,769408685
0,735651256;0,0014;0,750389374
0,420099413;0,0014;0,779202676
1,318775945;0,0012;0,713161272
0,622426286;0,0013;0,789388617
1,562868778;0,0011;0,700208129
1,218139956;0,0011;0,716677166
1,76533981;0,0011;0,678285584
1,777649499;0,0012;0,685485743
1,90214351;0,0011;0,673268856
0,386543911;0,0014;0,789073837
0,249343081;0,0016;0,796733809
0,159899895;0,0018;0,819933557
0,107311442;0,0018;0,825124283
0,072256655;0,002;0,830253163
0,050143449;0,002;0,812346353
0,032934986;0,0022;0,808775938
0,021832223;0,0023;0,793366118
0,013920655;0,0024;0,783051846
0,008085058;0,0031;0,729758455
0,004317337;0,0034;0,728276715
0,002438394;0,0038;0,562123822
1,840563761;0,001;0,656156539
2,252200365;0,0011;0,631827819
2,609000819;0,001;0,606299828
2,836891158;0,001;0,598723287
2,940220158;0,0012;0,571689074
