We;tc (s);epsilon
0,041723579;0,0014;0,856361779
0,031633325;0,0014;0,840594122
0,02259346;0,0015;0,836096149
0,015643992;0,0017;0,834171163
0,010990044;0,0017;0,818342411
0,007507821;0,0017;0,828312711
0,003596877;0,0019;0,749751068
0,112713181;0,0012;0,868694118
0,086712348;0,0012;0,860446858
0,07166937;0,0012;0,857674567
0,053132133;0,0013;0,846451038
0,038150507;0,0014;0,845253366
0,027440138;0,0014;0,84487974
0,07051114;0,0014;0,863663149
0,05398407;0,0014;0,845890071
0,039698405;0,0014;0,83605126
0,028546171;0,0015;0,830674928
0,020434737;0,0017;0,79516301
0,0624438;0,0013;0,856572449
0,046542505;0,0014;0,844803157
0,034319969;0,0014;0,825822315
0,024005031;0,0015;0,820777957
0,016738876;0,0016;0,814036031
0,043994314;0,0013;0,85295865
0,032637252;0,0014;0,828580482
0,022596632;0,0015;0,820566281
0,015616295;0,0016;0,804128983
0,010650745;0,0016;0,798926609
0,010613235;0,0017;0,811986871
0,007305647;0,0017;0,774477646
0,039769241;0,0013;0,845422828
0,028811963;0,0014;0,831076105
0,019747429;0,0015;0,818689654
0,064348557;0,0013;0,859814087
0,048165061;0,0014;0,848971415
0,034639745;0,0016;0,83823104
0,02496478;0,0015;0,833973696
0,017464761;0,0017;0,820276762
0,01212428;0,0017;0,807774705
0,008158839;0,0018;0,790316664
0,085371412;0,0012;0,855519265
0,064076512;0,0013;0,840114776
0,047219145;0,0013;0,83924027
0,034919156;0,0013;0,836208653
0,061002408;0,0013;0,850420381
0,044666518;0,0014;0,84516299
0,033023544;0,0014;0,825728559
0,023177653;0,0014;0,81729903
0,015980343;0,0016;0,804622306
0,011183032;0,0016;0,79517321
0,182991727;0,0011;0,88014823
0,124322625;0,0011;0,878390881
0,262659269;0,001;0,882652638
0,184168893;0,0011;0,886237855
0,180165624;0,0012;0,881026542
0,126707723;0,0013;0,878214766
0,171038145;0,0011;0,874049201
1,300159647;0,0009;0,766917315
0,537972696;0,0009;0,860233086
0,489570556;0,0009;0,858520706
0,326767821;0,001;0,878150887
0,736812305;0,001;0,836808012
0,888875924;0,0009;0,847372167
1,060815031;0,0008;0,825823736
1,096369652;0,0008;0,822789534
1,419529968;0,0009;0,7866798
1,396382456;0,0007;0,789699262
1,553685115;0,0008;0,764598737
1,495055674;0,0008;0,78031813
1,783844724;0,0009;0,738967049
1,806422113;0,0009;0,731619038
1,822868035;0,0008;0,734078644
2,203319902;0,0008;0,703342184
1,85243524;0,0008;0,723458117
2,37229061;0,0008;0,673776828
2,423224381;0,0009;0,674838764
2,712651344;0,0008;0,645459663
2,605370077;0,0009;0,651772299
2,556402343;0,0007;0,654901878
3,201006595;0,0007;0,599629603
2,769130263;0,0007;0,628250127
2,348073644;0,0007;0,647914765
