We;epsilon;tc (s)
0,481266206;0,818908412;0,0017
0,911632655;0,766729101;0,0013
0,509756146;0,780628171;0,0014
0,316548784;0,786735938;0,0015
0,200734238;0,79465928;0,0016
0,129756143;0,805516993;0,0017
0,085610612;0,814247445;0,0018
0,057360226;0,820812396;0,002
0,624281498;0,753164677;0,0014
0,361553316;0,764981876;0,0015
0,2151674;0,784814135;0,0016
0,134195962;0,794351335;0,0017
0,085408619;0,791488797;0,0019
0,054574112;0,801995138;0,002
0,035996661;0,79947794;0,0021
0,02327215;0,798677043;0,0024
0,015193587;0,813138492;0,0024
0,66109716;0,758168062;0,0014
0,382530725;0,785188176;0,0015
0,283352426;0,749803189;0,0017
0,16075844;0,78730018;0,0018
0,10114189;0,795151013;0,0019
0,065310986;0,802389444;0,002
0,041703485;0,798236052;0,0024
0,026770473;0,804660716;0,0025
0,36428305;0,78401162;0,0013
0,227379074;0,795132768;0,0014
0,018045242;0,79816969;0,0021
0,011267037;0,810687702;0,0023
0,007146439;0,757738731;0,0025
0,465834114;0,785025398;0,0013
0,764939233;0,760885499;0,0014
0,415834221;0,783813051;0,0015
0,261083356;0,797835016;0,0015
0,168871731;0,817110451;0,0017
0,600703216;0,772097156;0,0013
0,368758165;0,777747155;0,0014
0,231057369;0,800451758;0,0015
0,15055041;0,81916848;0,0016
0,100787987;0,829130578;0,0017
0,06805126;0,846674708;0,0018
0,479715938;0,789935817;0,0012
0,433223808;0,770196863;0,0013
0,258441684;0,796346948;0,0015
0,725669786;0,769421425;0,0013
0,735974933;0,750503869;0,0014
0,420404199;0,779212457;0,0014
1,318997822;0,713141409;0,0012
0,62268278;0,789393276;0,0013
1,56506384;0,70068432;0,0011
1,218224693;0,716668517;0,0011
1,765532196;0,678590289;0,0011
1,779303424;0,685680816;0,0012
1,902150191;0,673267733;0,0011
0,386571077;0,789204169;0,0014
0,249441389;0,797045598;0,0016
0,160087099;0,82073231;0,0018
0,160087099;0,82073231;0,0018
0,107644606;0,827038336;0,0018
0,072822718;0,834472024;0,002
0,051048734;0,820949401;0,002
0,03425581;0,823634984;0,0022
0,023536753;0,815647117;0,0023
0,015845983;0,816696467;0,0024
0,010118013;0,795764504;0,0031
0,006413535;0,824718396;0,0034
0,00450393;0,785593956;0,0038
1,841090637;0,656184864;0,001
2,252263624;0,631825493;0,0011
2,609111632;0,606290323;0,001
2,837340868;0,598701102;0,001
2,94022032;0,571719406;0,0012
