backend,M,K,We,Oh,ok,maxcp,nodes,frac_nodes,theta_c_deg,jumps_gt1,steps,wall_s,cor
var/lcp,30,3,0.5,0.0373,false,9,31,0.2903,45.75,6,529,5.61,0.7541369039050067
var/lcp,45,3,0.5,0.0373,false,12,46,0.2609,42.53,6,964,7.02,0.7548972403972333
var/lcp,60,3,0.5,0.0373,false,16,61,0.2623,43.89,7,1479,21.33,0.7553064464292496
var/lcp,90,3,0.5,0.0373,false,24,91,0.2637,45.25,8,2708,139.86,0.7555755931848398
var/lcp,30,3,2.0,0.0373,false,11,31,0.3548,57.55,16,472,1.69,0.6059353348859065
var/lcp,45,3,2.0,0.0373,false,15,46,0.3261,54.4,21,861,5.68,0.6067651674186323
var/lcp,60,3,2.0,0.0373,false,20,61,0.3279,55.79,14,1320,18.57,0.6070932351344186
var/lcp,90,3,2.0,0.0373,false,30,91,0.3297,57.18,26,2417,114.57,0.6073557193045896
var/lcp,30,3,3.0,0.02,false,11,31,0.3548,57.55,9,455,1.69,0.6358570838263874
var/lcp,45,3,3.0,0.02,false,16,46,0.3478,58.35,27,830,5.84,0.637722795511055
var/lcp,60,3,3.0,0.02,false,21,61,0.3443,58.76,22,1273,18.43,0.6381236690790465
var/lcp,90,3,3.0,0.02,false,31,91,0.3407,59.17,48,2330,96.84,0.6384199254436086
