We,cor_h0.02,cor_h0.01,cor_h0.005,cor_h0.002,cor_h0.0,tc_h0.02,tc_h0.01,tc_h0.005,tc_h0.002,tc_h0.0
5.6e-05,0.97960261,0.97960261,0.97960261,0.97960261,0.98022992,4.8389739,4.8389739,4.8389739,4.8389739,4.7575466
7.0340211e-05,0.97786192,0.97786192,0.97786192,0.97786192,0.97842096,4.7804194,4.7804194,4.7804194,4.7804194,4.7063115
8.8352594e-05,0.97574051,0.97574051,0.97574051,0.97574051,0.97627105,4.7282694,4.7282694,4.7282694,4.7282694,4.658736
0.0001109775,0.97353536,0.97353536,0.97353536,0.97353536,0.97400772,4.679779,4.679779,4.679779,4.679779,4.617565
0.00013939609,0.97131575,0.97131575,0.97131575,0.97131575,0.97176254,4.6367781,4.6367781,4.6367781,4.6367781,4.5773088
0.00017509197,0.97072257,0.97072257,0.97072257,0.97072257,0.97109708,4.5818834,4.5818834,4.5818834,4.5818834,4.5288184
0.00021992868,0.97085292,0.97085292,0.97085292,0.97085292,0.97118588,4.5233289,4.5233289,4.5233289,4.5233289,4.4739237
0.00027624696,0.96962618,0.96962618,0.96962618,0.96962618,0.96992262,4.4602,4.4602,4.4602,4.4602,4.4144543
0.00034698695,0.96746201,0.96746201,0.96746201,0.96746201,0.96774209,4.4007306,4.4007306,4.4007306,4.4007306,4.3577297
0.0004358417,0.96499375,0.96499375,0.96499375,0.96499375,0.9652437,4.344006,4.344006,4.344006,4.344006,4.302835
0.00054744995,0.96240358,0.96240358,0.96240358,0.96240358,0.96262611,4.2900262,4.2900262,4.2900262,4.2900262,4.2525148
0.00068763831,0.96188862,0.96188862,0.96188862,0.96188862,0.96206406,4.2351314,4.2351314,4.2351314,4.2351314,4.2012796
0.00086372542,0.96146156,0.96146156,0.96146156,0.96146156,0.96161776,4.1610235,4.1610235,4.1610235,4.1610235,4.1290015
0.0010849041,0.96011317,0.96011317,0.96011317,0.96011317,0.96024325,4.0887454,4.0887454,4.0887454,4.0887454,4.0594682
0.0013627211,0.95811536,0.95811536,0.95811536,0.95811536,0.95823123,4.0228716,4.0228716,4.0228716,4.0228716,3.9954243
0.0017116802,0.95716721,0.95716721,0.95716721,0.95716721,0.95725592,3.9643172,3.9643172,3.9643172,3.9643172,3.9405295
0.002149999,0.9571268,0.9571268,0.9571268,0.9571268,0.95720568,3.892954,3.892954,3.892954,3.892954,3.8709961
0.0027005604,0.95604271,0.95604271,0.95604271,0.95604271,0.95610164,3.8261654,3.8261654,3.8261654,3.8261654,3.8060373
0.003392107,0.95480628,0.95480628,0.95480628,0.95480628,0.95485355,3.7666961,3.7666961,3.7666961,3.7666961,3.7493127
0.0042607414,0.95476809,0.95476809,0.95476809,0.95476809,0.95480569,3.704482,3.704482,3.704482,3.704482,3.6880135
0.0053518116,0.95368691,0.95368691,0.95368691,0.95368691,0.95372438,3.6422679,3.6422679,3.6422679,3.6422679,3.6267144
0.0067222778,0.95313121,0.95313121,0.95313121,0.95313121,0.953161,3.5818837,3.5818837,3.5818837,3.5818837,3.5672451
0.0084436864,0.95244227,0.95244227,0.95244227,0.95244227,0.95246546,3.5178398,3.5178398,3.5178398,3.5178398,3.5059459
0.010605905,0.95164453,0.95164453,0.95164453,0.95164453,0.95166524,3.4556257,3.4556257,3.4556257,3.4556257,3.4437318
0.013321814,0.95094268,0.95094268,0.95094268,0.95094268,0.95095858,3.3888371,3.3888371,3.3888371,3.3888371,3.3778581
0.016733201,0.95014077,0.95014077,0.95014077,0.95014077,0.95015591,3.3238782,3.3238782,3.3238782,3.3238782,3.3128993
0.021018158,0.94915614,0.94915614,0.94915614,0.94915614,0.9491687,3.25343,3.25343,3.25343,3.25343,3.2442808
0.026400387,0.94819397,0.94819397,0.94819397,0.94819397,0.94820334,3.1875562,3.1875562,3.1875562,3.1875562,3.179322
0.033160871,0.94660187,0.94660187,0.94660187,0.94660187,0.94661024,3.1225974,3.1225974,3.1225974,3.1225974,3.1143632
0.041652548,0.94471169,0.94471169,0.94471169,0.94471169,0.94472522,3.0576386,3.0576386,3.0576386,3.0576386,3.0494044
0.052318732,0.94215562,0.94215562,0.94215562,0.94215562,0.94217828,2.9945096,2.9945096,2.9945096,2.9945096,2.9871903
0.065716262,0.9384969,0.9384969,0.9384969,0.9384969,0.93852892,2.9341254,2.9341254,2.9341254,2.9341254,2.9268061
0.082544567,0.93385847,0.93385847,0.93385847,0.93385847,0.93386269,2.8746561,2.8746561,2.8746561,2.8746561,2.8691666
0.10368218,0.92783513,0.92783513,0.92783513,0.92783513,0.92783983,2.8170166,2.8170166,2.8170166,2.8170166,2.8106122
0.13023262,0.92029235,0.92029235,0.92029235,0.92029235,0.92029655,2.760292,2.760292,2.760292,2.760292,2.7538876
0.16358196,0.91115602,0.91115602,0.91115602,0.91115602,0.91116081,2.7044823,2.7044823,2.7044823,2.7044823,2.6989928
0.20547124,0.90015609,0.90015609,0.90015609,0.90015609,0.90016445,2.6495875,2.6495875,2.6495875,2.6495875,2.644098
