We_clean,gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
0.2,72.8,1,0.2,0.00677682,0.0120914,0.933174
0.2,68.6,1,0.212245,0.00698119,0.0128317,0.929671
0.2,64.4,1,0.226087,0.00720525,0.0136685,0.925864
0.2,60.2,1,0.24186,0.00745236,0.0146221,0.921647
0.2,56,1,0.26,0.00772677,0.0157188,0.916776
0.2,51.8,1,0.281081,0.00803391,0.0169933,0.911164
0.2,47.6,1,0.305882,0.00838085,0.0184927,0.904663
0.2,43.4,1,0.335484,0.00877702,0.0202823,0.897155
0.2,39.2,1,0.371429,0.00923525,0.0224554,0.888107
0.2,35,1,0.416,0.00977367,0.02515,0.877425
0.2,72.8,1,0.2,0.00677682,0.0120914,0.933174
0.2,72.8,1.13333,0.2,0.0076804,0.0120914,0.929523
0.2,72.8,1.26667,0.2,0.00858398,0.0120914,0.925966
0.2,72.8,1.4,0.2,0.00948755,0.0120914,0.922451
0.2,72.8,1.53333,0.2,0.0103911,0.0120914,0.918999
0.2,72.8,1.66667,0.2,0.0112947,0.0120914,0.915607
0.2,72.8,1.8,0.2,0.0121983,0.0120914,0.912272
0.2,72.8,1.93333,0.2,0.0131019,0.0120914,0.908991
0.2,72.8,2.06667,0.2,0.0140054,0.0120914,0.905761
0.2,72.8,2.2,0.2,0.014909,0.0120914,0.902579
0.5,72.8,1,0.5,0.00677682,0.0120914,0.886643
0.5,68.6,1,0.530612,0.00698119,0.0128317,0.881338
0.5,64.4,1,0.565217,0.00720525,0.0136685,0.875282
0.5,60.2,1,0.604651,0.00745236,0.0146221,0.868461
0.5,56,1,0.65,0.00772677,0.0157188,0.861193
0.5,51.8,1,0.702703,0.00803391,0.0169933,0.852792
0.5,47.6,1,0.764706,0.00838085,0.0184927,0.843268
0.5,43.4,1,0.83871,0.00877702,0.0202823,0.83258
0.5,39.2,1,0.928571,0.00923525,0.0224554,0.819962
0.5,35,1,1.04,0.00977367,0.02515,0.805699
0.5,72.8,1,0.5,0.00677682,0.0120914,0.886643
0.5,72.8,1.13333,0.5,0.0076804,0.0120914,0.881326
0.5,72.8,1.26667,0.5,0.00858398,0.0120914,0.876181
0.5,72.8,1.4,0.5,0.00948755,0.0120914,0.87121
0.5,72.8,1.53333,0.5,0.0103911,0.0120914,0.866365
0.5,72.8,1.66667,0.5,0.0112947,0.0120914,0.861673
0.5,72.8,1.8,0.5,0.0121983,0.0120914,0.857126
0.5,72.8,1.93333,0.5,0.0131019,0.0120914,0.852668
0.5,72.8,2.06667,0.5,0.0140054,0.0120914,0.848323
0.5,72.8,2.2,0.5,0.014909,0.0120914,0.844057
1,72.8,1,1,0.00677682,0.0120914,0.833645
1,68.6,1,1.06122,0.00698119,0.0128317,0.826806
1,64.4,1,1.13043,0.00720525,0.0136685,0.819113
1,60.2,1,1.2093,0.00745236,0.0146221,0.810803
1,56,1,1.3,0.00772677,0.0157188,0.801915
1,51.8,1,1.40541,0.00803391,0.0169933,0.791878
1,47.6,1,1.52941,0.00838085,0.0184927,0.780698
1,43.4,1,1.67742,0.00877702,0.0202823,0.768422
1,39.2,1,1.85714,0.00923525,0.0224554,0.754235
1,35,1,2.08,0.00977367,0.02515,0.738416
1,72.8,1,1,0.00677682,0.0120914,0.833645
1,72.8,1.13333,1,0.0076804,0.0120914,0.827271
1,72.8,1.26667,1,0.00858398,0.0120914,0.821078
1,72.8,1.4,1,0.00948755,0.0120914,0.815089
1,72.8,1.53333,1,0.0103911,0.0120914,0.80929
1,72.8,1.66667,1,0.0112947,0.0120914,0.803669
1,72.8,1.8,1,0.0121983,0.0120914,0.798225
1,72.8,1.93333,1,0.0131019,0.0120914,0.792918
1,72.8,2.06667,1,0.0140054,0.0120914,0.787762
1,72.8,2.2,1,0.014909,0.0120914,0.782735
