gamma_mN_m,mu_mPa_s,We,Oh,Bo,cor
72.8,1,0.0002,0.00677682,0.0120914,0
72.8,1,0.000225544,0.00677682,0.0120914,0
72.8,1,0.00025435,0.00677682,0.0120914,0
72.8,1,0.00032347,0.00677682,0.0120914,0
72.8,1,0.000364784,0.00677682,0.0120914,0
72.8,1,0.000411374,0.00677682,0.0120914,0
72.8,1,0.000463915,0.00677682,0.0120914,0
72.8,1,0.00049265,0.00677682,0.0120914,0
72.8,1,0.000507679,0.00677682,0.0120914,0
72.8,1,0.000523166,0.00677682,0.0120914,0.534957
72.8,1,0.000539125,0.00677682,0.0120914,0.699238
72.8,1,0.000555571,0.00677682,0.0120914,0.777171
72.8,1,0.000572519,0.00677682,0.0120914,0.823477
72.8,1,0.000589984,0.00677682,0.0120914,0.854292
72.8,1,0.000607982,0.00677682,0.0120914,0.876283
72.8,1,0.000626529,0.00677682,0.0120914,0.892743
72.8,1,0.000665337,0.00677682,0.0120914,0.915633
72.8,1,0.000750313,0.00677682,0.0120914,0.940948
72.8,1,0.000846143,0.00677682,0.0120914,0.953285
72.8,1,0.000954212,0.00677682,0.0120914,0.95944
72.8,1,0.00107608,0.00677682,0.0120914,0.962472
72.8,1,0.00136851,0.00677682,0.0120914,0.96409
72.8,1,0.0015433,0.00677682,0.0120914,0.964258
72.8,1,0.00174041,0.00677682,0.0120914,0.964017
72.8,1,0.00221336,0.00677682,0.0120914,0.960706
72.8,1,0.00281485,0.00677682,0.0120914,0.955127
72.8,1,0.00357979,0.00677682,0.0120914,0.952138
72.8,1,0.0045526,0.00677682,0.0120914,0.948802
72.8,1,0.00578978,0.00677682,0.0120914,0.947604
72.8,1,0.00736316,0.00677682,0.0120914,0.949305
72.8,1,0.00936411,0.00677682,0.0120914,0.951875
72.8,1,0.0119088,0.00677682,0.0120914,0.953841
72.8,1,0.0151451,0.00677682,0.0120914,0.955636
72.8,1,0.0192608,0.00677682,0.0120914,0.956774
72.8,1,0.0244949,0.00677682,0.0120914,0.957463
72.8,1,0.0311514,0.00677682,0.0120914,0.958556
72.8,1,0.0396169,0.00677682,0.0120914,0.959522
72.8,1,0.0503828,0.00677682,0.0120914,0.960111
72.8,1,0.0640744,0.00677682,0.0120914,0.95987
72.8,1,0.0814868,0.00677682,0.0120914,0.958259
72.8,1,0.103631,0.00677682,0.0120914,0.955034
