surface,population,R_m,Oh,Bo,We,cor_theirs,We_ours,cor_ours
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0026619517,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0031850944,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0038110481,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0045600181,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.00545618,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0065284611,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0078114733,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.0093466307,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.011183486,0,NaN,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.013381332,0,0.001717645,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.014637281,0,0.002973594,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.015308793,0,0.0036451057,0
glaco,large,0.0014651163,0.0030835438,0.29159217,0.016011111,0.37521033,0.0043474243,0.37521033
glaco,large,0.0014651163,0.0030835438,0.29159217,0.01674565,0.49999771,0.0050819629,0.49999771
glaco,large,0.0014651163,0.0030835438,0.29159217,0.017513887,0.57853125,0.0058501998,0.57853125
glaco,large,0.0014651163,0.0030835438,0.29159217,0.018317368,0.6341175,0.006653681,0.6341175
glaco,large,0.0014651163,0.0030835438,0.29159217,0.01915771,0.67597527,0.0074940234,0.67597527
glaco,large,0.0014651163,0.0030835438,0.29159217,0.020036605,0.70877682,0.008372918,0.70877682
glaco,large,0.0014651163,0.0030835438,0.29159217,0.02095582,0.73523381,0.0092921334,0.73523381
glaco,large,0.0014651163,0.0030835438,0.29159217,0.021917206,0.75720173,0.01025352,0.75720173
glaco,large,0.0014651163,0.0030835438,0.29159217,0.022922698,0.77577493,0.011259011,0.77577493
glaco,large,0.0014651163,0.0030835438,0.29159217,0.025074183,0.80552017,0.013410496,0.80552017
glaco,large,0.0014651163,0.0030835438,0.29159217,0.027427603,0.82813342,0.015763916,0.82813342
glaco,large,0.0014651163,0.0030835438,0.29159217,0.030001911,0.84601714,0.018338224,0.84601714
glaco,large,0.0014651163,0.0030835438,0.29159217,0.03281784,0.86080294,0.021154153,0.86080294
glaco,large,0.0014651163,0.0030835438,0.29159217,0.039267397,0.88515341,0.02760371,0.88515341
glaco,large,0.0014651163,0.0030835438,0.29159217,0.046984461,0.90411031,0.035320774,0.90411031
glaco,large,0.0014651163,0.0030835438,0.29159217,0.056218127,0.91837547,0.044554441,0.91837547
glaco,large,0.0014651163,0.0030835438,0.29159217,0.067266449,0.9281166,0.055602763,0.9281166
glaco,large,0.0014651163,0.0030835438,0.29159217,0.080486054,0.93279239,0.068822367,0.93279239
glaco,large,0.0014651163,0.0030835438,0.29159217,0.096303653,0.93477535,0.084639967,0.93477535
glaco,large,0.0014651163,0.0030835438,0.29159217,0.11522982,0.93468409,0.10356614,0.93468409
glaco,large,0.0014651163,0.0030835438,0.29159217,0.13787548,0.9341868,0.12621179,0.9341868
glaco,large,0.0014651163,0.0030835438,0.29159217,0.16497159,0.93433127,0.1533079,0.93433127
glaco,large,0.0014651163,0.0030835438,0.29159217,0.19739279,0.93424518,0.1857291,0.93424518
glaco,large,0.0014651163,0.0030835438,0.29159217,0.2361856,0.93246708,0.22452191,0.93246708
glaco,large,0.0014651163,0.0030835438,0.29159217,0.2826022,0.9281788,0.27093851,0.9281788
glaco,large,0.0014651163,0.0030835438,0.29159217,0.33814087,0.92193823,0.32647719,0.92193823
glaco,large,0.0014651163,0.0030835438,0.29159217,0.40459434,0.91357599,0.39293065,0.91357599
glaco,large,0.0014651163,0.0030835438,0.29159217,0.48410763,0.90405996,0.47244394,0.90405996
glaco,large,0.0014651163,0.0030835438,0.29159217,0.57924735,0.8936193,0.56758367,0.8936193
glaco,large,0.0014651163,0.0030835438,0.29159217,0.6930845,0.88325272,0.68142081,0.88325272
glaco,large,0.0014651163,0.0030835438,0.29159217,0.8292936,0.87232288,0.81762992,0.87232288
glaco,large,0.0014651163,0.0030835438,0.29159217,0.99227133,0.85999394,0.98060765,0.85999394
glaco,large,0.0014651163,0.0030835438,0.29159217,1.1872784,0.84602741,1.1756147,0.84602741
glaco,large,0.0014651163,0.0030835438,0.29159217,1.4206095,0.82989001,1.4089458,0.82989001
glaco,large,0.0014651163,0.0030835438,0.29159217,1.6997961,0.81244063,1.6881324,0.81244063
glaco,large,0.0014651163,0.0030835438,0.29159217,2.0338502,0.79371618,2.0221865,0.79371618
glaco,large,0.0014651163,0.0030835438,0.29159217,2.4335546,0.77489541,2.4218909,0.77489541
glaco,large,0.0014651163,0.0030835438,0.29159217,2.9118113,0.75555046,2.9001476,0.75555046
glaco,large,0.0014651163,0.0030835438,0.29159217,3.4840578,0.73621496,3.4723941,0.73621496
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,9.4096916e-07,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.1419388e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.3858309e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,1.6818129e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.0410099e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,2.4769233e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.0059378e-06,0,NaN,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.1549817e-06,0,1.8417829e-08,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.2322525e-06,0,9.5688582e-08,0
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.3114157e-06,0.44165797,1.7485182e-07,0.44165797
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.3925178e-06,0.66081759,2.559539e-07,0.66081759
glaco,small,2.4025987e-05,0.024079394,7.8414097e-05,3.4756062e-06,0.75121644,3.3904231e-07,0.75121644
