case,gamma_N_per_m,mu_Pa_s,we_reported,we_true,Oh,Bo,cor
clean,0.0728,0.001,0.00024182728,0.00024182728,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00028683293,0.00028683293,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00034021442,0.00034021442,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00040353056,0.00040353056,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00047863025,0.00047863025,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00049949492,0.00049949492,0.00677682,0.0120914,0
clean,0.0728,0.001,0.00052126912,0.00052126912,0.00677682,0.0120914,0.50068614
clean,0.0728,0.001,0.00054399252,0.00054399252,0.00677682,0.0120914,0.72766868
clean,0.0728,0.001,0.00056770649,0.00056770649,0.00677682,0.0120914,0.81246636
clean,0.0728,0.001,0.0005924542,0.0005924542,0.00677682,0.0120914,0.85777858
clean,0.0728,0.001,0.00061828073,0.00061828073,0.00677682,0.0120914,0.88602613
clean,0.0728,0.001,0.00064523311,0.00064523311,0.00677682,0.0120914,0.90525412
clean,0.0728,0.001,0.0006733604,0.0006733604,0.00677682,0.0120914,0.91911569
clean,0.0728,0.001,0.00073334684,0.00073334684,0.00677682,0.0120914,0.93745125
clean,0.0728,0.001,0.0007986772,0.0007986772,0.00677682,0.0120914,0.94843003
clean,0.0728,0.001,0.00094731627,0.00094731627,0.00677682,0.0120914,0.95917644
clean,0.0728,0.001,0.0011236181,0.0011236181,0.00677682,0.0120914,0.96307745
clean,0.0728,0.001,0.0013327308,0.0013327308,0.00677682,0.0120914,0.96404061
clean,0.0728,0.001,0.0015807607,0.0015807607,0.00677682,0.0120914,0.96426153
clean,0.0728,0.001,0.0018749507,0.0018749507,0.00677682,0.0120914,0.96349731
clean,0.0728,0.001,0.0022238913,0.0022238913,0.00677682,0.0120914,0.96059571
clean,0.0728,0.001,0.0026377721,0.0026377721,0.00677682,0.0120914,0.95644493
clean,0.0728,0.001,0.0031286789,0.0031286789,0.00677682,0.0120914,0.9536811
clean,0.0728,0.001,0.0037109466,0.0037109466,0.00677682,0.0120914,0.95168715
clean,0.0728,0.001,0.0044015781,0.0044015781,0.00677682,0.0120914,0.94927113
clean,0.0728,0.001,0.0052207408,0.0052207408,0.00677682,0.0120914,0.94764508
clean,0.0728,0.001,0.006192355,0.006192355,0.00677682,0.0120914,0.94781022
clean,0.0728,0.001,0.0073447929,0.0073447929,0.00677682,0.0120914,0.94927389
clean,0.0728,0.001,0.0087117072,0.0087117072,0.00677682,0.0120914,0.95125023
clean,0.0728,0.001,0.010333013,0.010333013,0.00677682,0.0120914,0.95276061
clean,0.0728,0.001,0.012256055,0.012256055,0.00677682,0.0120914,0.95414922
clean,0.0728,0.001,0.014536987,0.014536987,0.00677682,0.0120914,0.95538698
clean,0.0728,0.001,0.017242416,0.017242416,0.00677682,0.0120914,0.95618204
clean,0.0728,0.001,0.020451343,0.020451343,0.00677682,0.0120914,0.95698778
clean,0.0728,0.001,0.024257473,0.024257473,0.00677682,0.0120914,0.95741304
clean,0.0728,0.001,0.028771948,0.028771948,0.00677682,0.0120914,0.95821591
clean,0.0728,0.001,0.034126596,0.034126596,0.00677682,0.0120914,0.95893102
clean,0.0728,0.001,0.04047778,0.04047778,0.00677682,0.0120914,0.9596447
clean,0.0728,0.001,0.048010961,0.048010961,0.00677682,0.0120914,0.96007351
clean,0.0728,0.001,0.056946117,0.056946117,0.00677682,0.0120914,0.96027508
clean,0.0728,0.001,0.067544164,0.067544164,0.00677682,0.0120914,0.95954718
clean,0.0728,0.001,0.080114577,0.080114577,0.00677682,0.0120914,0.95843671
clean,0.0728,0.001,0.095024426,0.095024426,0.00677682,0.0120914,0.95635537
clean,0.0728,0.001,0.1127091,0.1127091,0.00677682,0.0120914,0.95347111
clean,0.0728,0.001,0.133685,0.133685,0.00677682,0.0120914,0.94977247
clean,0.0728,0.001,0.15856466,0.15856466,0.00677682,0.0120914,0.94515974
clean,0.0728,0.001,0.18807458,0.18807458,0.00677682,0.0120914,0.93961055
clean,0.0728,0.001,0.2230765,0.2230765,0.00677682,0.0120914,0.93310848
clean,0.0728,0.001,0.2645925,0.2645925,0.00677682,0.0120914,0.92582273
clean,0.0728,0.001,0.31383491,0.31383491,0.00677682,0.0120914,0.91753082
clean,0.0728,0.001,0.37224165,0.37224165,0.00677682,0.0120914,0.9084095
clean,0.0728,0.001,0.44151826,0.44151826,0.00677682,0.0120914,0.8983726
clean,0.0728,0.001,0.52368772,0.52368772,0.00677682,0.0120914,0.88739219
clean,0.0728,0.001,0.62114944,0.62114944,0.00677682,0.0120914,0.87527751
clean,0.0728,0.001,0.73674944,0.73674944,0.00677682,0.0120914,0.86230776
clean,0.0728,0.001,0.87386335,0.87386335,0.00677682,0.0120914,0.84853966
clean,0.0728,0.001,1.0364951,1.0364951,0.00677682,0.0120914,0.83386364
clean,0.0728,0.001,1.2293936,1.2293936,0.00677682,0.0120914,0.81810412
clean,0.0728,0.001,1.4581919,1.4581919,0.00677682,0.0120914,0.80178528
clean,0.0728,0.001,1.7295709,1.7295709,0.00677682,0.0120914,0.78508699
clean,0.0728,0.001,2.0514555,2.0514555,0.00677682,0.0120914,0.76779369
clean,0.0728,0.001,2.4332448,2.4332448,0.00677682,0.0120914,0.74945875
clean,0.0728,0.001,2.8860877,2.8860877,0.00677682,0.0120914,0.73176574
clean,0.0728,0.001,3.4232076,3.4232076,0.00677682,0.0120914,0.71373443
g50,0.05,0.001,0.00024182728,0.00035210052,0.00817724,0.017605,0
g50,0.05,0.001,0.00028683293,0.00041762874,0.00817724,0.017605,0
g50,0.05,0.001,0.00034021442,0.0004953522,0.00817724,0.017605,0
g50,0.05,0.001,0.00040353056,0.0005875405,0.00817724,0.017605,0
g50,0.05,0.001,0.00047863025,0.00069688565,0.00817724,0.017605,0
g50,0.05,0.001,0.00049949492,0.0007272646,0.00817724,0.017605,0
g50,0.05,0.001,0.00052126912,0.00075896784,0.00817724,0.017605,0.21490288
g50,0.05,0.001,0.00054399252,0.00079205311,0.00817724,0.017605,0.62774783
g50,0.05,0.001,0.00056770649,0.00082658065,0.00817724,0.017605,0.74623761
g50,0.05,0.001,0.0005924542,0.00086261332,0.00817724,0.017605,0.80700475
