series,Oh,Bo,We,cor
water,0.00677682,0.0120914,0.00024182728,0
water,0.00677682,0.0120914,0.00029072982,0
water,0.00677682,0.0120914,0.00034952148,0
water,0.00677682,0.0120914,0.00042020204,0
water,0.00677682,0.0120914,0.00050517569,0
water,0.00677682,0.0120914,0.0005289791,0.61360975
water,0.00677682,0.0120914,0.00055390411,0.77122107
water,0.00677682,0.0120914,0.00058000356,0.83818685
water,0.00677682,0.0120914,0.00060733279,0.87561076
water,0.00677682,0.0120914,0.00063594975,0.89945891
water,0.00677682,0.0120914,0.00066591512,0.91589572
water,0.00677682,0.0120914,0.0007301482,0.93672618
water,0.00677682,0.0120914,0.00087779945,0.95562463
water,0.00677682,0.0120914,0.0010553089,0.9621257
water,0.00677682,0.0120914,0.0012687144,0.96390391
water,0.00677682,0.0120914,0.0015252751,0.96424987
water,0.00677682,0.0120914,0.0018337176,0.96368299
water,0.00677682,0.0120914,0.0022045337,0.96079825
water,0.00677682,0.0120914,0.0026503366,0.95632786
water,0.00677682,0.0120914,0.0031862901,0.95347588
water,0.00677682,0.0120914,0.0038306247,0.95128691
water,0.00677682,0.0120914,0.0046052572,0.94865757
water,0.00677682,0.0120914,0.0055365366,0.94758015
water,0.00677682,0.0120914,0.0066561403,0.94827237
water,0.00677682,0.0120914,0.0080021512,0.95031693
water,0.00677682,0.0120914,0.0096203537,0.95212304
water,0.00677682,0.0120914,0.011565791,0.9535315
water,0.00677682,0.0120914,0.013904636,0.95517592
water,0.00677682,0.0120914,0.016716444,0.9560212
water,0.00677682,0.0120914,0.020096859,0.95693553
water,0.00677682,0.0120914,0.024160865,0.95739244
water,0.00677682,0.0120914,0.029046698,0.95825822
water,0.00677682,0.0120914,0.034920548,0.95901334
water,0.00677682,0.0120914,0.041982214,0.9598486
water,0.00677682,0.0120914,0.050471897,0.96011383
water,0.00677682,0.0120914,0.060678371,0.96016491
water,0.00677682,0.0120914,0.072948809,0.95915066
water,0.00677682,0.0120914,0.087700585,0.95737867
water,0.00677682,0.0120914,0.10543548,0.95472653
water,0.00677682,0.0120914,0.12675674,0.95106415
water,0.00677682,0.0120914,0.15238961,0.94628778
water,0.00677682,0.0120914,0.18320598,0.94051399
water,0.00677682,0.0120914,0.22025406,0.93361361
water,0.00677682,0.0120914,0.26479405,0.92578699
water,0.00677682,0.0120914,0.31834095,0.91682235
water,0.00677682,0.0120914,0.38271615,0.90680454
water,0.00677682,0.0120914,0.46010937,0.89573337
water,0.00677682,0.0120914,0.55315312,0.88368427
water,0.00677682,0.0120914,0.66501226,0.87033196
water,0.00677682,0.0120914,0.79949167,0.85590834
water,0.00677682,0.0120914,0.96116562,0.84031315
water,0.00677682,0.0120914,1.1555334,0.82379808
water,0.00677682,0.0120914,1.3892065,0.80660928
water,0.00677682,0.0120914,1.6701331,0.78859244
water,0.00677682,0.0120914,2.007869,0.76991644
water,0.00677682,0.0120914,2.4139022,0.75028959
water,0.00677682,0.0120914,2.9020437,0.73113855
water,0.00677682,0.0120914,3.4888977,0.71174345
water,0.00677682,0.0120914,4.1944259,0.69228245
water,0.00677682,0.0120914,5.0426267,0.67323331
water,0.00677682,0.0120914,6.0623514,0.65426638
water,0.00677682,0.0120914,7.2882857,0.63577362
gab,0.0239335,0.0481725,0.00024182728,0
gab,0.0239335,0.0481725,0.00029072982,0
gab,0.0239335,0.0481725,0.00034952148,0
gab,0.0239335,0.0481725,0.00042020204,0
gab,0.0239335,0.0481725,0.00050517569,0
gab,0.0239335,0.0481725,0.00060733279,0
gab,0.0239335,0.0481725,0.0007301482,0
gab,0.0239335,0.0481725,0.00087779945,0
gab,0.0239335,0.0481725,0.0010553089,0
gab,0.0239335,0.0481725,0.0012687144,0
gab,0.0239335,0.0481725,0.0015252751,0
gab,0.0239335,0.0481725,0.0018337176,0
gab,0.0239335,0.0481725,0.0022045337,0
gab,0.0239335,0.0481725,0.0024171794,0
gab,0.0239335,0.0481725,0.0025310747,0
gab,0.0239335,0.0481725,0.0026503366,0.25108374
gab,0.0239335,0.0481725,0.002775218,0.42806278
gab,0.0239335,0.0481725,0.0029059837,0.52537807
gab,0.0239335,0.0481725,0.003042911,0.59129794
gab,0.0239335,0.0481725,0.0031862901,0.63976111
gab,0.0239335,0.0481725,0.0033364252,0.67709207
gab,0.0239335,0.0481725,0.0034936344,0.70667388
gab,0.0239335,0.0481725,0.0036582513,0.73072526
gab,0.0239335,0.0481725,0.0038306247,0.75064918
gab,0.0239335,0.0481725,0.0040111202,0.76739487
gab,0.0239335,0.0481725,0.0042001205,0.78164273
gab,0.0239335,0.0481725,0.0046052572,0.80448686
gab,0.0239335,0.0481725,0.0050494728,0.82185414
gab,0.0239335,0.0481725,0.0055365366,0.83532494
gab,0.0239335,0.0481725,0.0066561403,0.85414397
gab,0.0239335,0.0481725,0.0080021512,0.86537595
gab,0.0239335,0.0481725,0.0096203537,0.87298265
gab,0.0239335,0.0481725,0.011565791,0.87864802
gab,0.0239335,0.0481725,0.013904636,0.88264887
gab,0.0239335,0.0481725,0.016716444,0.88635631
gab,0.0239335,0.0481725,0.020096859,0.89056555
gab,0.0239335,0.0481725,0.024160865,0.89430132
gab,0.0239335,0.0481725,0.029046698,0.89708962
gab,0.0239335,0.0481725,0.034920548,0.89962497
gab,0.0239335,0.0481725,0.041982214,0.90077732
gab,0.0239335,0.0481725,0.050471897,0.90138124
gab,0.0239335,0.0481725,0.060678371,0.90085514
gab,0.0239335,0.0481725,0.072948809,0.89928858
gab,0.0239335,0.0481725,0.087700585,0.89661286
gab,0.0239335,0.0481725,0.10543548,0.89262159
gab,0.0239335,0.0481725,0.12675674,0.88725401
gab,0.0239335,0.0481725,0.15238961,0.88052242
gab,0.0239335,0.0481725,0.18320598,0.87232358
gab,0.0239335,0.0481725,0.22025406,0.86267615
gab,0.0239335,0.0481725,0.26479405,0.8516717
gab,0.0239335,0.0481725,0.31834095,0.83928815
gab,0.0239335,0.0481725,0.38271615,0.82556781
gab,0.0239335,0.0481725,0.46010937,0.81067917
gab,0.0239335,0.0481725,0.55315312,0.79471521
gab,0.0239335,0.0481725,0.66501226,0.77775174
gab,0.0239335,0.0481725,0.79949167,0.75996913
gab,0.0239335,0.0481725,0.96116562,0.74143303
gab,0.0239335,0.0481725,1.1555334,0.72230557
gab,0.0239335,0.0481725,1.3892065,0.70285816
gab,0.0239335,0.0481725,1.6701331,0.68308369
gab,0.0239335,0.0481725,2.007869,0.66317169
gab,0.0239335,0.0481725,2.4139022,0.64325532
gab,0.0239335,0.0481725,2.9020437,0.62344154
gab,0.0239335,0.0481725,3.4888977,0.60387091
gab,0.0239335,0.0481725,4.1944259,0.58459853
gab,0.0239335,0.0481725,5.0426267,0.56565842
gab,0.0239335,0.0481725,6.0623514,0.54721705
gab,0.0239335,0.0481725,7.2882857,0.52924469
