solver,basis,We,Bo,Oh,M,K,rheology,t_max,h_thresh,cor,tc,cor_internal,tc_internal,min_gap,n_detected,maxcp,rejects,gap_fraction,lcp_resid,eta_sweeps,wall_s,commit,stamp
search,monomial,1,0.0189,0.303767,20,2,newtonian,25,0.02,0.3620611301,2.284906217,0.3620611301,2.267726471,-0.005301170797,267,7,0,0.01515151515,NaN,1,2.11313796,af2201e,2026-08-05T08:14:45.371
search,monomial,0.4042823217,0.0158,0.2889,45,2,newtonian,25,0.02,0.4544984424,2.489630131,0.4544984424,2.484480947,-0.0009947750956,968,11,0,0.00310880829,NaN,1,5.341113091,af2201e,2026-08-05T08:15:09.872
search,monomial,0.4042823217,0.0188,0.0373,45,2,newtonian,25,0.02,0.7679906237,2.533398189,0.7679906237,2.528249005,-0.0008824793024,985,12,0,0.005091649695,NaN,1,5.43652916,af2201e,2026-08-05T08:15:09.863
search,monomial,0.4042823217,0.0526,0.0233,45,2,newtonian,25,0.02,0.7992637368,2.530823597,0.7992637368,2.525674414,-0.0007931544859,984,12,0,0.005096839959,NaN,1,5.393681049,af2201e,2026-08-05T08:15:09.865
search,monomial,0.4042823217,0.0178,0.0767,45,2,newtonian,25,0.02,0.6778702946,2.553994922,0.6778702946,2.548845739,-0.0008331249436,993,12,0,0.00303030303,NaN,1,5.665764093,af2201e,2026-08-05T08:15:10.044
search,monomial,0.4042823217,0.0271,0.6849,45,2,newtonian,25,0.02,0.2570218988,2.790857354,0.2560343063,2.466458806,-0.001090233246,1085,11,0,0.001043841336,NaN,1,5.603909016,af2201e,2026-08-05T08:15:10.115
search,monomial,0.02,0.0178,0.0767,45,2,newtonian,25,0.02,0.8453009183,3.488571693,0.8453009183,3.483422509,-0.0004168529366,1356,6,0,0,NaN,1,6.468401909,af2201e,2026-08-05T08:15:10.835
search,monomial,0.02,0.0526,0.0233,45,2,newtonian,25,0.02,0.8547385096,3.720284942,0.8547385096,3.715135758,-0.0004342799075,1446,7,0,0,NaN,1,6.574905157,af2201e,2026-08-05T08:15:11.069
search,monomial,0.02,0.0188,0.0373,45,2,newtonian,25,0.02,0.8955046867,3.473124143,0.8955046867,3.467974959,-0.0004154289132,1350,6,0,0,NaN,1,6.722584963,af2201e,2026-08-05T08:15:11.075
search,monomial,0.02,0.0158,0.2889,45,2,newtonian,25,0.02,0.6390771478,3.540063526,0.6390771478,3.491146284,-0.0004429794765,1376,6,0,0,NaN,1,6.475291967,af2201e,2026-08-05T08:15:10.850
search,monomial,0.02,0.0271,0.6849,45,2,newtonian,25,0.02,0.2685643904,4.157965523,0.2685643904,3.872185849,-0.0005134583101,1616,6,0,0,NaN,1,7.105777979,af2201e,2026-08-05T08:15:11.461
search,monomial,1.101293315,0.0526,0.0233,45,2,newtonian,25,0.02,0.7070455131,2.31713249,0.7070455131,2.311983306,-0.001454729265,901,14,0,0.001113585746,NaN,1,3.599804878,af2201e,2026-08-05T08:15:22.126
search,monomial,1.101293315,0.0158,0.2889,45,2,newtonian,25,0.02,0.3639701141,2.250193107,0.3639701141,2.245043923,-0.001541050832,875,13,0,0.001146788991,NaN,1,3.841647148,af2201e,2026-08-05T08:15:22.360
search,monomial,1.101293315,0.0188,0.0373,45,2,newtonian,25,0.02,0.6635866814,2.327430856,0.6635866814,2.322281673,-0.001488867866,905,14,0,0.005543237251,NaN,1,4.102210045,af2201e,2026-08-05T08:15:22.629
search,monomial,1.101293315,0.0178,0.0767,45,2,newtonian,25,0.02,0.5681460401,2.342878406,0.5681460401,2.337729223,-0.001567862187,911,14,0,0.001101321586,NaN,1,4.381839991,af2201e,2026-08-05T08:15:22.901
search,monomial,1.101293315,0.0271,0.6849,45,2,newtonian,25,0.02,0.205118557,2.479331764,0.2031904811,2.188402907,-0.001528486075,964,13,0,0.001176470588,NaN,1,4.592641115,af2201e,2026-08-05T08:15:23.303
search,monomial,0.05448139855,0.0178,0.0767,45,2,newtonian,25,0.02,0.8209207886,3.115255903,0.8209207886,3.110106719,-0.0004721366253,1211,8,0,0,NaN,1,5.11589694,af2201e,2026-08-05T08:15:25.301
search,monomial,0.05448139855,0.0188,0.0373,45,2,newtonian,25,0.02,0.8834669514,3.089509986,0.8834669514,3.084360803,-0.0004604252309,1201,8,0,0,NaN,1,5.224473,af2201e,2026-08-05T08:15:25.672
search,monomial,0.05448139855,0.0158,0.2889,45,2,newtonian,25,0.02,0.601614373,3.146151003,0.601614373,3.104957536,-0.0005333677791,1223,7,0,0,NaN,1,5.248181105,af2201e,2026-08-05T08:15:26.167
search,monomial,0.05448139855,0.0526,0.0233,45,2,newtonian,25,0.02,0.8802185954,3.182195286,0.8802185954,3.177046102,-0.0004791589662,1237,8,0,0,NaN,1,5.426537991,af2201e,2026-08-05T08:15:26.223
search,monomial,0.05448139855,0.0271,0.6849,45,2,newtonian,25,0.02,0.3152717506,3.558085667,0.3152717506,3.25170926,-0.0006193653574,1383,7,0,0,NaN,1,5.256067038,af2201e,2026-08-05T08:15:27.655
search,monomial,3,0.0178,0.0767,45,2,newtonian,25,0.02,0.4588452133,2.170380765,0.4588452133,2.165231582,-0.003284058592,844,16,0,0,NaN,1,3.296298981,af2201e,2026-08-05T08:15:30.904
search,monomial,3,0.0158,0.2889,45,2,newtonian,25,0.02,0.2799886542,2.059673324,0.2799886542,2.054524141,-0.002596000622,801,15,0,0.001253132832,NaN,1,3.437068939,af2201e,2026-08-05T08:15:31.077
search,monomial,3,0.0188,0.0373,45,2,newtonian,25,0.02,0.55205108,2.154933215,0.55205108,2.149784032,-0.003277169091,838,16,0,0,NaN,1,3.518100023,af2201e,2026-08-05T08:15:31.312
search,monomial,3,0.0271,0.6849,45,2,newtonian,25,0.02,0.1544994882,2.23989474,0.1527673383,1.969562616,-0.002169393718,871,15,0,0,NaN,1,3.620013952,af2201e,2026-08-05T08:15:32.692
search,monomial,0.1484111394,0.0178,0.0767,45,2,newtonian,25,0.02,0.7662822695,2.808879496,0.7662822695,2.803730312,-0.0005939241721,1092,10,0,0,NaN,1,3.522377014,af2201e,2026-08-05T08:15:36.451
search,monomial,0.1484111394,0.0188,0.0373,45,2,newtonian,25,0.02,0.84390029,2.783133579,0.84390029,2.777984396,-0.0005504314648,1082,10,0,0,NaN,1,3.954029083,af2201e,2026-08-05T08:15:36.464
search,monomial,0.1484111394,0.0526,0.0233,45,2,newtonian,25,0.02,0.859791775,2.806304904,0.859791775,2.801155721,-0.000557147705,1091,10,0,0,NaN,1,3.852184057,af2201e,2026-08-05T08:15:37.001
search,monomial,0.1484111394,0.0158,0.2889,45,2,newtonian,25,0.02,0.5379920811,2.793431946,0.5379920811,2.772835213,-0.0006991793281,1086,9,0,0,NaN,1,3.655821085,af2201e,2026-08-05T08:15:37.506
search,monomial,0.1484111394,0.0271,0.6849,45,2,newtonian,25,0.02,0.2997880246,3.138427228,0.2997880246,2.811454087,-0.0007933489319,1220,9,0,0,NaN,1,3.165954113,af2201e,2026-08-05T08:15:38.918
search,monomial,3,0.0526,0.0233,45,2,newtonian,25,0.02,1.135955466e-15,25.00185956,NaN,24.99928497,-0.6141151949,9712,45,0,0.0002059732235,NaN,1,19.11231303,af2201e,2026-08-05T08:15:46.125
search,monomial,0.3169786385,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.7445573663,2.623429933,0.7445573663,2.59432114,-0.00531165734,183,4,3,0.02805049088,NaN,12,152.093504,af2201e,2026-08-05T08:17:37.075
search,monomial,0.02,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.7422086667,3.756853544,0.7422086667,3.738660549,-0.003051723892,301,3,70,0.004866180049,NaN,12,384.217247,af2201e,2026-08-05T08:21:29.197
search,monomial,0.7962143411,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.6810762637,2.401475389,0.6810762637,2.372366597,-0.0105071205,166,5,0,0.04294478528,NaN,11,113.555228,af2201e,2026-08-05T08:21:49.378
search,monomial,2,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.6035519841,2.24137703,0.6035519841,2.212268237,-0.04731025988,155,6,0,0.01973684211,NaN,11,124.846802,af2201e,2026-08-05T08:25:37.280
search,monomial,0.05023772863,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.7804503065,3.147388199,0.7804503065,3.125556605,-0.003193234879,233,3,29,0,NaN,12,186.5699699,af2201e,2026-08-05T08:29:38.288
search,monomial,0.1261914689,0.012,57.0686877,14,2,carreau_3000ppm,25,0.02,0.781436707,2.885409066,0.781436707,2.863577472,-0.004418490292,207,4,15,0.002541296061,NaN,12,144.9001031,af2201e,2026-08-05T08:34:53.957
