Oh,Bo,We,n_exp,cor_exp,cor_exp_sd,cor_sim
0.0030835438,0.29159217,0.17296653,20,0.96400636,0.0086714909,0.84814094
0.0030835438,0.29159217,0.29417887,23,0.93278892,0.031746991,0.8427696
0.0030835438,0.29159217,0.47254044,22,0.93198018,0.03536656,0.81412476
0.0030835438,0.29159217,0.81442218,9,0.87027175,0.063721886,0.80689538
0.0030835438,0.29159217,1.3605947,4,0.891341,0.016302503,0.76856456
0.0030835438,0.29159217,3.4595216,4,0.62769248,0.11156606,NaN
0.0097061242,0.0029702499,1.8593756,5,0.66004745,0.053662126,0.75595876
0.017321815,0.00029282138,0.0069836111,8,0.29126237,0.099775518,0.95268886
0.017321815,0.00029282138,0.018806926,6,0.47744529,0.093527972,0.94918409
0.017321815,0.00029282138,0.058259583,8,0.62242115,0.070860516,0.93955656
0.017321815,0.00029282138,2.5861527,4,0.60594924,0.047641916,0.67381968
0.020818231,0.00014034634,0.016709253,7,0.31106408,0.081778465,0.94530567
0.020818231,0.00014034634,0.84894649,4,0.66972988,0.0095910905,0.77372401
