We,Oh,cor_lcp,cor_as,dcor,tc_lcp,tc_as,wall_lcp,wall_as
0.1,0.020000000000000004,0.908979559893601,0.9089795598931506,4.50417481090426e-13,2.8706696954811437,2.8706696954811437,2.842013120651245,1.8361971378326416
0.825,0.020000000000000004,0.7721730467940708,0.7721659547473988,7.092046672041441e-6,2.36090054776341,2.36090054776341,2.307110071182251,1.2792479991912842
1.55,0.020000000000000004,0.7082769432631376,0.7083061885860272,2.924532288961501e-5,2.242469331626967,2.242469331626967,2.3804190158843994,1.2670400142669678
2.275,0.020000000000000004,0.667170708356037,0.6671762680079975,5.559651960473921e-6,2.1781045402484653,2.1781045402484653,1.9417688846588135,1.045501947402954
0.1,0.04864598558195576,0.8427104810697766,0.842710481070259,4.823919041996305e-13,2.8989902036876845,2.8989902036876845,2.7022008895874023,1.3535878658294678
0.825,0.04864598558195576,0.66940135414011,0.6694019433171708,5.891770608057456e-7,2.3814972810045307,2.3814972810045307,2.1889231204986572,1.1843361854553223
1.55,0.04864598558195576,0.5991902202759131,0.599189963087975,2.571879380575126e-7,2.2630660648680876,2.2630660648680876,2.0683391094207764,1.1061391830444336
2.275,0.04864598558195576,0.556800230433975,0.5568019588423126,1.7284083376756243e-6,2.198701273489586,2.198701273489586,1.9490711688995361,1.1327369213104248
3.0,0.04864598558195576,0.5266772082075827,0.5266752380250234,1.9701825593188005e-6,2.1523586236970647,2.1523586236970647,1.9576730728149414,1.0634031295776367
0.1,0.11832159566199234,0.7297403609146353,0.7297403609146462,1.0880185641326534e-14,2.9298853035493653,2.9298853035493653,2.5346360206604004,1.308933973312378
0.825,0.11832159566199234,0.5374345252492376,0.5374354465928599,9.213436222843541e-7,2.3814972810045307,2.3814972810045307,2.1143200397491455,1.112048864364624
1.55,0.11832159566199234,0.470442962790533,0.47044330950076474,3.4671023174670523e-7,2.2579168815578075,2.2579168815578075,2.122875928878784,1.1311671733856201
2.275,0.11832159566199234,0.43093154446841025,0.4309309718632365,5.726051737764415e-7,2.1884029068690256,2.1884029068690256,2.027980089187622,1.0723450183868408
3.0,0.11832159566199234,0.403511380228155,0.4035121620902712,7.818621161614914e-7,2.1420602570765044,2.1420602570765044,1.8663420677185059,1.0345828533172607
0.1,0.28779353183036377,0.5601855305297143,0.5601855305298652,1.5087930904655877e-13,2.9427582618250656,2.9427582618250656,2.4855868816375732,1.4283099174499512
0.825,0.28779353183036377,0.38763215241450943,0.3876321523764039,3.810551874039447e-11,2.317132489626029,2.317132489626029,2.0951390266418457,1.0499720573425293
1.55,0.28779353183036377,0.3321844577898135,0.33218445778919764,6.158407117595743e-13,2.1806791319036054,2.1806791319036054,1.9787309169769287,1.0174379348754883
2.275,0.28779353183036377,0.3003714958393285,0.30037148719745405,8.641874438275465e-9,2.1085905655596835,2.1085905655596835,1.8451650142669678,0.9966788291931152
3.0,0.28779353183036377,0.27881568968350856,0.27881568136224283,8.321265732025296e-9,2.059673324112022,2.059673324112022,1.9800889492034912,1.047692060470581
0.1,0.7,0.3375439984230876,0.33754399842322663,1.3905543383430086e-13,3.2027920189942125,3.2027920189942125,2.8164799213409424,1.4093611240386963
0.825,0.7,0.22636709056674442,0.22636709056533227,1.4121481761719679e-12,2.5230998220372345,2.5230998220372345,2.30277681350708,1.1846909523010254
1.55,0.7,0.19064671494828872,0.19064671460622604,3.420626837336016e-10,2.3634751394185503,2.3634751394185503,2.0660951137542725,1.2202520370483398
2.275,0.7,0.1702081107528073,0.17020811017056192,5.822453907899927e-10,2.275939023143788,2.275939023143788,2.1804111003875732,1.1700317859649658
3.0,0.7,0.156472999852758,0.15647299984384516,8.912842686115141e-12,2.2167234150755664,2.2167234150755664,2.1748898029327393,1.0976641178131104
