backend,rheology,M,K,ok,wall_s,cor
var/active-set,newtonian,14,3,true,0.658,0.7471443164411825
var/active-set,newtonian,20,3,true,0.267,0.7503200273625602
var/active-set,newtonian,30,3,true,0.359,0.7541529149377796
var/active-set,newtonian,45,3,true,1.27,0.7548983634116093
var/active-set,newtonian,60,3,true,3.524,0.7553063618912662
var/active-set,newtonian,90,3,true,17.931,0.7555755058835915
var/lcp,newtonian,14,3,true,2.729,0.7471443164411884
var/lcp,newtonian,20,3,true,0.303,0.7503441793728588
var/lcp,newtonian,30,3,true,1.952,0.7541369039050067
var/lcp,newtonian,45,3,true,6.793,0.7548972403972333
var/lcp,newtonian,60,3,true,13.73,0.7553064464292496
var/lcp,newtonian,90,3,true,50.315,0.7555755931848398
nonvar/tangency,newtonian,14,3,true,5.922,1.0752045889153583
nonvar/tangency,newtonian,20,3,true,4.394,0.7456380220392423
nonvar/tangency,newtonian,30,3,true,15.607,0.7491467033708519
nonvar/tangency,newtonian,45,3,true,6.027,2.706084641111122e-28
nonvar/tangency,newtonian,60,3,true,332.791,0.7503177509453982
nonvar/tangency,newtonian,90,3,true,2055.121,0.7505331706733791
var/active-set,shear_thinning,14,3,true,3.486,0.743512015694948
var/active-set,shear_thinning,20,3,true,7.19,0.7498690917733769
var/active-set,shear_thinning,30,3,true,28.217,0.7521117140568121
var/active-set,shear_thinning,45,3,true,115.048,0.753466951346911
var/lcp,shear_thinning,14,3,true,2.147,0.7435120156949161
var/lcp,shear_thinning,20,3,true,7.392,0.7498690917735347
var/lcp,shear_thinning,30,3,true,28.468,0.7521274878780996
var/lcp,shear_thinning,45,3,true,119.417,0.7534679692888384
