backend,We,cor,tc
nonvar/tangency,0.0107499762,0.3501663494,20.6758243
nonvar/tangency,0.02277530376,0.3888814843,24.60998613
nonvar/tangency,0.04825261487,0.7075963829,3.504668182
nonvar/tangency,0.1022298041,0.7075155271,3.169663135
nonvar/tangency,0.2165879066,0.7231553246,2.843247961
nonvar/tangency,0.4588712824,0.7152459326,2.585551771
nonvar/tangency,0.9721819518,0.6114283297,2.447110208
nonvar/tangency,2.059701236,0.5377204113,2.274225701
var/lcp,0.0107499762,0.7215871431,3.824167627
var/lcp,0.02277530376,0.7643646177,3.473042817
var/lcp,0.04825261487,0.7787009483,3.172858393
var/lcp,0.1022298041,0.7841066566,2.954542449
var/lcp,0.2165879066,0.7601423994,2.71257561
var/lcp,0.4588712824,0.7242947686,2.539742154
var/lcp,0.9721819518,0.662590292,2.372366597
var/lcp,2.059701236,0.5969628225,2.226822634
var/lcp/nodal,0.0107499762,0.7397217582,3.715919305
var/lcp/nodal,0.02277530376,0.7695578148,3.370252393
var/lcp/nodal,0.04825261487,0.7722816874,3.022766181
var/lcp/nodal,0.1022298041,0.7665968573,2.803540587
var/lcp/nodal,0.2165879066,0.7226617165,2.608875536
var/lcp/nodal,0.4588712824,0.6600813,2.430584182
var/lcp/nodal,0.9721819518,0.5728580571,2.288678818
var/lcp/nodal,2.059701236,0.4784085289,2.175882247
