solver,We,Bo,Oh,M,K,rheology,t_max,h_thresh,cor,tc,cor_internal,tc_internal,min_gap,n_detected,maxcp,rejects,gap_fraction,lcp_resid,eta_sweeps,wall_s,commit,stamp
search,1,0.0189,0.303767,20,2,newtonian,25,0.02,0.3620611301,2.284906217,0.3620611301,2.267726471,-0.005301170797,267,7,0,0.01515151515,NaN,1,2.11313796,af2201e,2026-08-05T08:14:45.371
lcp,0.3,0.0189,0.05,20,2,newtonian,25,0.02,0.7456014367,2.362215074,0.7456014367,2.345035328,-0.02949666024,252,6,0,0.5018315018,1.734723476e-18,1,2.731444836,af2201e,2026-08-05T08:14:46.122
lcp,1,0.0189,0.303767,20,2,newtonian,25,0.02,0.361778117,2.284906217,0.361778117,2.267726471,-0.007354182691,267,7,0,0.06439393939,4.734270267e-12,1,2.726489782,af2201e,2026-08-05T08:14:46.123
search,0.4042823217,0.0158,0.2889,45,2,newtonian,25,0.02,0.4544984424,2.489630131,0.4544984424,2.484480947,-0.0009947750956,968,11,0,0.00310880829,NaN,1,5.341113091,af2201e,2026-08-05T08:15:09.872
search,0.4042823217,0.0188,0.0373,45,2,newtonian,25,0.02,0.7679906237,2.533398189,0.7679906237,2.528249005,-0.0008824793024,985,12,0,0.005091649695,NaN,1,5.43652916,af2201e,2026-08-05T08:15:09.863
search,0.4042823217,0.0526,0.0233,45,2,newtonian,25,0.02,0.7992637368,2.530823597,0.7992637368,2.525674414,-0.0007931544859,984,12,0,0.005096839959,NaN,1,5.393681049,af2201e,2026-08-05T08:15:09.865
search,0.4042823217,0.0178,0.0767,45,2,newtonian,25,0.02,0.6778702946,2.553994922,0.6778702946,2.548845739,-0.0008331249436,993,12,0,0.00303030303,NaN,1,5.665764093,af2201e,2026-08-05T08:15:10.044
search,0.4042823217,0.0271,0.6849,45,2,newtonian,25,0.02,0.2570218988,2.790857354,0.2560343063,2.466458806,-0.001090233246,1085,11,0,0.001043841336,NaN,1,5.603909016,af2201e,2026-08-05T08:15:10.115
search,0.02,0.0178,0.0767,45,2,newtonian,25,0.02,0.8453009183,3.488571693,0.8453009183,3.483422509,-0.0004168529366,1356,6,0,0,NaN,1,6.468401909,af2201e,2026-08-05T08:15:10.835
search,0.02,0.0526,0.0233,45,2,newtonian,25,0.02,0.8547385096,3.720284942,0.8547385096,3.715135758,-0.0004342799075,1446,7,0,0,NaN,1,6.574905157,af2201e,2026-08-05T08:15:11.069
search,0.02,0.0188,0.0373,45,2,newtonian,25,0.02,0.8955046867,3.473124143,0.8955046867,3.467974959,-0.0004154289132,1350,6,0,0,NaN,1,6.722584963,af2201e,2026-08-05T08:15:11.075
search,0.02,0.0158,0.2889,45,2,newtonian,25,0.02,0.6390771478,3.540063526,0.6390771478,3.491146284,-0.0004429794765,1376,6,0,0,NaN,1,6.475291967,af2201e,2026-08-05T08:15:10.850
search,0.02,0.0271,0.6849,45,2,newtonian,25,0.02,0.2685643904,4.157965523,0.2685643904,3.872185849,-0.0005134583101,1616,6,0,0,NaN,1,7.105777979,af2201e,2026-08-05T08:15:11.461
lcp,0.4042823217,0.0526,0.0233,45,2,newtonian,25,0.02,0.8179137251,2.296535756,0.8179137251,2.291386573,-0.03390991004,836,12,0,0.2640449438,7.758625339e-11,1,6.679274797,af2201e,2026-08-05T08:15:18.466
lcp,0.4042823217,0.0178,0.0767,45,2,newtonian,25,0.02,0.6751143591,2.342878406,0.6751143591,2.33258004,-0.007511759566,911,12,0,0.1037527594,5.963192188e-10,1,6.821277857,af2201e,2026-08-05T08:15:18.466
lcp,0.4042823217,0.0158,0.2889,45,2,newtonian,25,0.02,0.4545579593,2.489630131,0.4545579593,2.484480947,-0.0009901747232,968,11,0,0.01761658031,1.037606034e-10,1,6.925698042,af2201e,2026-08-05T08:15:18.467
lcp,0.4042823217,0.0188,0.0373,45,2,newtonian,25,0.02,0.7686231398,2.304259531,0.7686231398,2.252767698,-0.01939752971,896,12,0,0.1942857143,7.280736031e-10,1,6.627552032,af2201e,2026-08-05T08:15:18.479
lcp,0.4042823217,0.0271,0.6849,45,2,newtonian,25,0.02,0.2570375777,2.790857354,0.2560499852,2.466458806,-0.001075257883,1085,11,0,0.003131524008,4.063146464e-10,1,7.539700031,af2201e,2026-08-05T08:15:18.667
lcp,0.02,0.0178,0.0767,45,2,newtonian,25,0.02,0.8470141344,3.483422509,0.8470141344,3.478273326,-0.004667037042,1354,6,0,0.3478904515,1.221598096e-10,1,9.015382051,af2201e,2026-08-05T08:15:20.142
lcp,0.02,0.0188,0.0373,45,2,newtonian,25,0.02,0.8970419974,3.457676593,0.8970419974,3.45252741,-0.006437679419,1344,6,0,0.5876211782,5.385076491e-10,1,9.278619051,af2201e,2026-08-05T08:15:20.403
